order_id,customer_id,order_date,status,shipping_country,shipping_city,shipping_address,shipped_date,delivered_date
168,121,2026-01-24T09:47:07,cancelled,Portugal,Perrin-sur-Dijoux,Paseo de Fernanda Font 35 Piso 3,,
169,344,2025-02-25T01:04:07,delivered,Alemania,Luckau,"8, avenue Duval",2025-02-27,2025-03-02
170,270,2025-06-17T02:19:31,pending,Francia,Schongau,"14, rue de Roche",,
171,79,2026-02-23T20:59:42,cancelled,Alemania,Palencia,"Piazza Udinesi, 70",,
172,524,2024-10-16T16:34:23,shipped,España,Tirschenreuth,"982, rue Marcel Perrin",2024-10-18,
173,581,2025-12-02T18:11:24,pending,Italia,Louis,Agnes-Haering-Weg 0,,
174,162,2024-12-06T13:23:13,delivered,Alemania,Lagarde,Urbanización Georgina Muro 46 Piso 6,2024-12-08,2024-12-09
175,119,2024-12-29T20:53:43,shipped,España,Burgos,"Incrocio Mastandrea, 174",2024-12-30,
176,3,2026-01-24T18:31:32,delivered,España,Aubert,"106, avenue de Rodriguez",2026-01-25,2026-01-27
177,484,2025-01-08T01:40:26,pending,Alemania,Lake Geoffreyville,Flat 2 Thompson Streets,,
178,154,2025-12-12T13:56:37,delivered,Francia,Güstrow,"Vicolo Gussoni, 41 Piano 3",2025-12-13,2025-12-15
179,430,2026-01-18T23:52:24,returned,Alemania,South Catherineville,C. Gerónimo Blanes 4,2026-01-19,2026-01-23
180,328,2026-06-08T15:09:19,delivered,Francia,Lemaître-sur-Navarro,Studio 08 Rhys Stream,2026-06-10,2026-06-11
181,123,2025-03-19T13:34:24,delivered,España,Ribnitz-Damgarten,Callejón de África Echevarría 47,2025-03-22,2025-03-27
182,184,2026-04-29T01:55:03,delivered,Países Bajos,Jaén,Studio 13 Teresa Fields,2026-04-30,2026-05-06
183,71,2025-10-02T14:35:50,delivered,Países Bajos,Aue,boulevard Evrard,2025-10-04,2025-10-07
184,336,2025-07-25T11:18:43,delivered,España,Dinkelsbühl,"Strada Giulietta, 6 Piano 5",2025-07-26,2025-08-01
185,378,2025-09-15T00:17:24,delivered,España,Badajoz,09 Charlotte Trafficway,2025-09-16,2025-09-20
186,249,2025-01-19T11:03:54,confirmed,Alemania,Sticciano Scalo,810 Cross Rue,,
187,506,2024-06-15T13:24:30,delivered,España,Torres,"Borgo Storladi, 85 Piano 8",2024-06-16,2024-06-23
188,155,2025-02-18T08:55:29,delivered,Italia,Dinkelsbühl,Hertrampfplatz 50/36,2025-02-19,2025-02-24
189,555,2026-03-01T08:28:59,delivered,Alemania,La Rioja,"Via Niscoromni, 786",2026-03-03,2026-03-09
190,344,2026-01-27T00:20:57,delivered,Alemania,Barthelemyboeuf,Eimerweg 4333,2026-01-28,2026-02-04
191,107,2026-06-13T11:11:46,delivered,Alemania,Selva Di Val Gardena,"55, avenue Blanchard",2026-06-14,2026-06-20
192,504,2025-11-08T15:17:06,delivered,Alemania,Sainte Théophilenec,Alameda Carmen Crespi 78,2025-11-09,2025-11-12
193,96,2026-04-23T10:11:17,shipped,España,Jenningsborough,"34, avenue de Bruneau",2026-04-24,
194,533,2025-05-30T08:25:39,delivered,Francia,South Elliott,"67, boulevard de Laporte",2025-06-01,2025-06-07
195,470,2025-05-29T13:33:43,delivered,España,Zamora,Plaza Zoraida Baena 61,2025-06-01,2025-06-01
196,518,2026-03-19T03:28:47,delivered,España,Wolfach,15 Jackson Village,2026-03-20,2026-03-27
197,77,2024-09-27T14:21:28,pending,España,Maillot-les-Bains,Madeleine-Rörricht-Platz 226,,
198,64,2025-10-19T20:40:25,shipped,Italia,San Vincenzo Valle Roveto Superiore,Studio 43h Louise Court,2025-10-21,
199,243,2024-01-22T04:45:32,delivered,Alemania,Jaén,"12, chemin de Besnard",2024-01-24,2024-01-27
200,403,2024-10-28T11:28:08,delivered,Francia,Astrio,boulevard Adélaïde Maillot,2024-10-31,2024-11-05
201,464,2026-05-11T11:34:48,returned,España,Asturias,462 Aimee Flat,2026-05-13,2026-05-15
202,140,2026-01-03T07:22:49,cancelled,Alemania,Waren,Plaza de Ester Rios 55 Apt. 84,,
203,112,2024-10-25T21:17:18,delivered,España,Fiamenga,"40, chemin de Charles",2024-10-26,2024-10-28
204,478,2026-05-06T16:22:05,delivered,Francia,MarquesVille,Meik-Rohleder-Gasse 190,2026-05-08,2026-05-12
205,367,2024-12-04T19:30:44,delivered,Alemania,Finsterwalde,"50, avenue de Daniel",2024-12-05,2024-12-10
206,272,2025-01-10T16:52:11,cancelled,España,Ludwigsburg,Tschentscherring 2744,,
207,93,2025-07-28T04:21:57,delivered,España,Sainte DanielleBourg,Urbanización Carlito Elorza 31,2025-07-29,2025-08-05
208,42,2026-04-10T21:57:56,delivered,España,Casciana Alta,Plaza Maite Nogueira 812,2026-04-11,2026-04-15
209,255,2026-01-05T03:19:15,delivered,Portugal,Schrobenhausen,Glorieta Zaida Bertrán 21,2026-01-07,2026-01-11
210,307,2024-10-17T01:46:56,delivered,Alemania,Zamora,1 Potter Pines,2024-10-19,2024-10-21
211,464,2026-06-01T14:43:24,delivered,España,Warrenfort,"Contrada Binaghi, 2",2026-06-04,2026-06-09
212,97,2026-02-18T09:05:48,delivered,Portugal,West Gareth,"Strada Francesco, 5",2026-02-20,2026-02-21
213,125,2026-01-26T05:05:22,delivered,Países Bajos,Collet-sur-Brunel,"73, chemin Nathalie Guillot",2026-01-27,2026-01-29
214,134,2025-09-27T08:05:35,returned,Alemania,Hinterkirch,Carlos-Bolander-Gasse 75-20,2025-09-28,2025-10-03
215,87,2025-12-12T22:56:54,confirmed,Francia,Saint Timothée,"Vicolo Giuseppe, 887 Piano 7",,
216,266,2026-05-19T21:20:23,pending,Italia,Geithain,"Rotonda Pierangelo, 787",,
217,23,2024-12-30T02:43:48,pending,España,Blanchard,"3, avenue Louise Gérard",,
218,455,2026-03-03T07:11:59,shipped,España,Garcia,"32, rue Durand",2026-03-04,
219,126,2026-01-03T12:04:16,delivered,España,Gérard-la-Forêt,Aleksandra-Krein-Platz 9/5,2026-01-04,2026-01-09
220,588,2026-06-02T06:06:58,delivered,Alemania,South Lynda,"82, rue de Benard",2026-06-04,2026-06-10
221,31,2026-06-13T18:03:48,delivered,Francia,Guadalajara,"42, avenue de Fabre",2026-06-15,2026-06-21
222,363,2026-02-14T06:17:30,delivered,Alemania,Richard-la-Forêt,Studio 49B June Curve,2026-02-15,2026-02-18
223,457,2025-01-09T10:11:21,delivered,Alemania,Torresina,Paul-Heinz-Rosemann-Straße 80,2025-01-10,2025-01-12
224,252,2024-03-20T22:32:36,delivered,España,Gotha,Studio 35O Fitzgerald Point,2024-03-23,2024-03-25
225,564,2025-02-16T15:00:00,confirmed,España,Vechta,93 Frederick Overpass,,
226,90,2025-05-16T02:13:12,shipped,Portugal,Bivio Cascinare,C. Maricela Colomer 951 Piso 7,2025-05-18,
227,430,2025-10-13T04:59:47,shipped,Alemania,Porto Recanati,Glorieta de Máxima Llorente 15 Piso 3,2025-10-14,
228,256,2025-05-21T19:08:39,returned,Alemania,West Susanfort,"Rotonda Spadafora, 9",2025-05-24,2025-05-28
229,392,2024-06-26T00:42:39,delivered,España,Candia Lomellina,Annegrete-Pärtzelt-Ring 5660,2024-06-29,2024-07-01
230,497,2025-06-16T19:49:31,delivered,España,Dinkelsbühl,Gabriella-Seifert-Straße 85,2025-06-18,2025-06-23
231,398,2024-04-17T11:42:33,delivered,España,Johnsonside,Flat 14D Chapman Rest,2024-04-19,2024-04-21
232,225,2025-01-01T11:36:35,delivered,Francia,Goncalves,"Piazza Catalano, 65",2025-01-02,2025-01-06
233,543,2026-04-02T17:10:24,delivered,Portugal,Quedlinburg,C. de Gaspar Morera 604 Puerta 9,2026-04-04,2026-04-09
234,103,2025-05-08T05:48:42,returned,Alemania,Toledo,Flat 1 Derek Cove,2025-05-09,2025-05-16
235,547,2026-06-08T09:42:14,delivered,Alemania,Cutigliano,55 Amy Junctions,2026-06-11,2026-06-11
236,590,2026-05-25T07:59:18,delivered,Italia,La Coruña,"Canale Petrassi, 8",2026-05-27,2026-05-30
237,181,2025-09-30T06:19:28,delivered,Francia,Ferreira,Birger-Seidel-Allee 0,2025-10-01,2025-10-07
238,29,2024-01-11T13:03:46,delivered,España,Thomasbury,8 Stanley Throughway,2024-01-14,2024-01-19
239,578,2025-05-12T20:40:03,confirmed,Alemania,Sainte Clémence,Calle Heraclio Araujo 83 Apt. 51,,
